SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,0,0.5549717837226001,1,0,1,1,0,1,0.9767480261787151,0,1,0,0,1,0,0,0,1,0,0
0,0,0,-1.243590296574679,0,0,0,0,0,1,0.3371872340845324,0,1,0,1,0,0,0,0,1,0,1
0,1,1,1.6137012404433893,1,1,1,0,1,1,1.0963974101906755,0,1,0,0,0,1,0,1,0,0,0
0,0,0,-1.1085391633592283,0,0,0,0,0,0,-0.8624817371257473,0,0,1,1,0,0,0,0,0,1,1
1,1,0,0.27896548120165665,0,0,1,0,0,1,-0.8363414096642423,1,0,0,1,0,0,0,0,1,0,1
0,1,0,1.2879383306831464,1,1,1,1,1,1,0.5496661971360212,1,0,0,0,0,1,0,0,0,1,0
0,0,0,-0.9162892735328723,0,0,0,0,0,1,0.3774703881966569,0,1,0,1,0,0,0,0,1,0,1
0,1,1,1.6137012404433893,1,1,1,0,1,0,1.1678546811978192,0,1,0,0,0,1,1,0,0,0,0
0,1,1,-0.1372743995179157,1,0,0,0,0,0,-1.2849576910473786,0,0,1,0,0,1,0,0,0,1,0
0,0,0,-1.2367242199587352,0,1,1,0,0,1,-0.02868464295939832,1,0,0,1,0,0,0,0,0,1,1
0,0,0,-1.2288865131853106,0,0,0,0,0,1,0.23031046420095486,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.188488510242327,0,0,0,1,0,1,-0.8163309370005319,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0.6771328748826912,1,0,0,1,0,1,0.8670694241677506,0,1,0,1,0,0,0,1,0,0,1
0,0,1,-1.1145631287986442,0,0,0,0,0,0,-1.4727407520661506,0,0,1,0,0,1,0,0,0,1,0
1,0,0,-1.2774445836787656,0,0,0,0,0,1,-1.2982520670487077,1,0,0,1,0,0,0,0,0,1,1
0,0,0,-0.6978805166559947,0,0,0,1,1,1,-0.20880665432190484,1,0,0,1,0,0,0,1,0,0,1
0,0,0,1.1657772395230557,1,1,0,1,1,0,0.720831288153132,1,0,0,0,0,1,0,1,0,0,0
0,0,0,-1.0311426654753562,0,0,0,0,0,1,-0.2271575322573319,1,0,0,1,0,0,1,0,0,0,1
0,0,0,-1.2367242199587352,0,1,1,0,0,1,-0.470930896330125,1,0,0,1,0,0,0,0,0,1,1
0,0,0,0.5956921474426305,1,1,0,1,1,1,0.0079203750818651,1,0,0,0,0,1,0,0,0,1,0
0,0,0,-1.2255495917033354,0,1,1,0,0,1,-0.4588840137382848,1,0,0,1,0,0,0,0,0,1,1
0,0,0,-1.0996048531778946,0,0,0,0,0,1,0.358845125209557,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.0797773734104792,0,0,0,0,1,1,-0.08957862294266913,1,0,0,1,0,0,0,0,0,1,1
0,1,0,1.5729808767233588,0,1,0,1,1,0,0.5679459641378485,1,0,0,0,0,1,1,0,0,0,0
0,0,0,-1.2032885782342682,0,0,0,0,0,1,0.24102947892993712,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.7073594915983407,0,0,0,1,1,1,1.2160467942026365,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-0.8201770303840348,0,0,0,0,0,0,-0.2585245523292582,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,0.1724382780983114,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.1916737982302104,0,1,1,0,0,1,-0.30099967451986775,1,0,0,1,0,0,0,0,0,1,1
1,0,0,-1.0331224013585834,0,1,0,0,0,1,-0.5504434169739522,1,0,0,1,0,0,0,0,1,0,0
1,0,1,-1.2774445836787656,0,0,0,0,0,1,0.2073360151017999,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.24597066526726863,1,0,1,1,0,1,1.215221409800069,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2593261513900027,0,0,0,0,0,1,-0.07948839346081543,0,1,0,1,0,0,0,0,1,0,1
1,1,0,0.880734693482843,0,0,0,0,0,1,-1.3231790220511994,1,0,0,1,0,0,1,0,0,0,0
0,0,0,-0.4630373092781585,0,1,1,0,1,0,0.2089978121019659,1,0,0,0,0,1,0,1,0,0,0
0,0,0,-0.8186071115587641,0,0,1,0,1,1,-0.21215513046044124,1,0,0,1,0,0,0,0,0,1,1
0,0,0,1.0436161483629645,1,1,1,1,0,1,1.4287568102239003,0,1,0,0,1,0,0,0,1,0,0
0,0,0,-1.2774445836787656,0,1,0,0,0,1,0.6593447991469852,0,1,0,1,0,0,0,0,0,1,1
0,0,0,-0.1372743995179157,0,1,0,0,1,0,-0.9692162610158152,1,0,0,0,1,0,0,0,0,1,0
0,0,0,-0.5851984004382496,0,1,0,1,0,0,-1.03568814102246,1,0,0,1,0,0,0,0,0,1,0
0,0,0,-1.1552834925186746,0,0,0,0,0,1,-1.3397969920528607,1,0,0,1,0,0,0,0,1,0,1
0,1,0,1.3286586944031769,1,1,0,1,1,0,0.3785011061189107,1,0,0,0,0,1,1,0,0,0,0
1,0,0,-1.2774445836787656,0,0,0,0,0,1,-1.505976692069473,0,0,1,1,0,0,0,0,1,0,1
0,0,0,0.9621754209229036,1,1,1,0,0,1,0.719169491152966,0,1,0,1,0,0,0,0,1,0,0
0,0,0,-0.8523687306915837,0,0,0,0,0,1,0.5079388789643221,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2462308927126,0,0,0,0,0,1,0.20473660745979722,0,1,0,1,0,0,0,0,1,0,1
